job_id,source_K_index,target_K_index,generator,source_K_exponents,target_K_exponents,localized_overlap,source_frame_forms_in_base_1_u_v,target_frame_forms_in_base_1_u_v,normalized_H_scalar_mod_31,normalized_H_factor_circuit,normalized_O4H_scalar_mod_31,normalized_O4H_factor_circuit,whole_ring_J1_emitted,whole_ring_J2_emitted,whole_ring_lambda_correction_emitted,L0_A_source_equals_A_target_L1_certified
38,9,12,2,"[0, 1, 0, 0]","[0, 1, 1, 0]",invert all source and target factor-frame forms listed,"[[1,20,14],[1,0,0],[30,28,11],[1,0,1]]","[[1,20,14],[1,0,1],[29,6,9],[1,0,1]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
39,9,10,3,"[0, 1, 0, 0]","[0, 1, 0, 1]",invert all source and target factor-frame forms listed,"[[1,20,14],[1,0,0],[30,28,11],[1,0,1]]","[[1,20,14],[1,20,14],[21,26,14],[12,17,13]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
40,10,37,0,"[0, 1, 0, 1]","[1, 1, 0, 1]",invert all source and target factor-frame forms listed,"[[1,20,14],[1,20,14],[21,26,14],[12,17,13]]","[[12,17,13],[1,20,14],[21,26,14],[27,3,25]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
41,10,19,1,"[0, 1, 0, 1]","[0, 2, 0, 1]",invert all source and target factor-frame forms listed,"[[1,20,14],[1,20,14],[21,26,14],[12,17,13]]","[[2,9,3],[1,20,14],[24,0,21],[20,16,1]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
42,10,13,2,"[0, 1, 0, 1]","[0, 1, 1, 1]",invert all source and target factor-frame forms listed,"[[1,20,14],[1,20,14],[21,26,14],[12,17,13]]","[[1,20,14],[12,17,13],[24,0,21],[12,17,13]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
43,10,11,3,"[0, 1, 0, 1]","[0, 1, 0, 2]",invert all source and target factor-frame forms listed,"[[1,20,14],[1,20,14],[21,26,14],[12,17,13]]","[[1,20,14],[2,9,3],[24,0,10],[11,15,1]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
44,11,38,0,"[0, 1, 0, 2]","[1, 1, 0, 2]",invert all source and target factor-frame forms listed,"[[1,20,14],[2,9,3],[24,0,10],[11,15,1]]","[[12,17,13],[2,9,3],[24,0,10],[14,0,14]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
45,11,20,1,"[0, 1, 0, 2]","[0, 2, 0, 2]",invert all source and target factor-frame forms listed,"[[1,20,14],[2,9,3],[24,0,10],[11,15,1]]","[[2,9,3],[2,9,3],[22,20,6],[14,25,21]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
46,11,14,2,"[0, 1, 0, 2]","[0, 1, 1, 2]",invert all source and target factor-frame forms listed,"[[1,20,14],[2,9,3],[24,0,10],[11,15,1]]","[[1,20,14],[11,15,1],[22,20,6],[11,15,1]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
47,11,9,3,"[0, 1, 0, 2]","[0, 1, 0, 0]",invert all source and target factor-frame forms listed,"[[1,20,14],[2,9,3],[24,0,10],[11,15,1]]","[[1,20,14],[1,0,0],[30,28,11],[1,0,1]]",2,scalar*product(target_frame_forms)/product(source_frame_forms),16,normalized_H_factor_circuit^4,False,False,False,False
