edge_job_id,source_K_index,target_K_index,source_K_exponents,target_K_exponents,generator_index,generator,generator_exponents,generator_artifact_loaded,support_ids_bound,support_binding_count,support_bindings_sha256,ready_for_common_basis_rebase,common_basis_rebased,numeric_edge_matrix_emitted,edge_chain_map_certified,status
87,21,22,"[0,2,1,0]","[0,2,1,1]",3,e3,"[0,0,0,1]",True,True,32,8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
88,22,49,"[0,2,1,1]","[1,2,1,1]",0,e0,"[1,0,0,0]",True,True,35,b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
89,22,4,"[0,2,1,1]","[0,0,1,1]",1,e1,"[0,1,0,0]",True,True,31,f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
90,22,25,"[0,2,1,1]","[0,2,2,1]",2,e2,"[0,0,1,0]",True,True,35,3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
91,22,23,"[0,2,1,1]","[0,2,1,2]",3,e3,"[0,0,0,1]",True,True,32,8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
92,23,50,"[0,2,1,2]","[1,2,1,2]",0,e0,"[1,0,0,0]",True,True,35,b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
93,23,5,"[0,2,1,2]","[0,0,1,2]",1,e1,"[0,1,0,0]",True,True,31,f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
94,23,26,"[0,2,1,2]","[0,2,2,2]",2,e2,"[0,0,1,0]",True,True,35,3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
95,23,21,"[0,2,1,2]","[0,2,1,0]",3,e3,"[0,0,0,1]",True,True,32,8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
96,24,51,"[0,2,2,0]","[1,2,2,0]",0,e0,"[1,0,0,0]",True,True,35,b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
97,24,6,"[0,2,2,0]","[0,0,2,0]",1,e1,"[0,1,0,0]",True,True,31,f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
98,24,18,"[0,2,2,0]","[0,2,0,0]",2,e2,"[0,0,1,0]",True,True,35,3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
99,24,25,"[0,2,2,0]","[0,2,2,1]",3,e3,"[0,0,0,1]",True,True,32,8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
100,25,52,"[0,2,2,1]","[1,2,2,1]",0,e0,"[1,0,0,0]",True,True,35,b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
101,25,7,"[0,2,2,1]","[0,0,2,1]",1,e1,"[0,1,0,0]",True,True,31,f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
102,25,19,"[0,2,2,1]","[0,2,0,1]",2,e2,"[0,0,1,0]",True,True,35,3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
103,25,26,"[0,2,2,1]","[0,2,2,2]",3,e3,"[0,0,0,1]",True,True,32,8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
104,26,53,"[0,2,2,2]","[1,2,2,2]",0,e0,"[1,0,0,0]",True,True,35,b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
105,26,8,"[0,2,2,2]","[0,0,2,2]",1,e1,"[0,1,0,0]",True,True,31,f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
106,26,20,"[0,2,2,2]","[0,2,0,2]",2,e2,"[0,0,1,0]",True,True,35,3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
107,26,24,"[0,2,2,2]","[0,2,2,0]",3,e3,"[0,0,0,1]",True,True,32,8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
108,27,54,"[1,0,0,0]","[2,0,0,0]",0,e0,"[1,0,0,0]",True,True,35,b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
109,27,36,"[1,0,0,0]","[1,1,0,0]",1,e1,"[0,1,0,0]",True,True,31,f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18,True,False,False,False,READY_FOR_COMMON_BASIS_REBASE
